spend_date,source,medium,campaign,impressions,clicks,spend
2020-11-01,google,cpc,holiday_search,12000,410,328.50
2020-11-01,facebook,paid_social,remarketing_q4,18000,520,286.00
2020-11-01,newsletter,email,weekly_promo,9500,310,62.00
2020-11-02,google,cpc,holiday_search,12500,430,344.00
2020-11-02,facebook,paid_social,remarketing_q4,17500,500,275.00
2020-11-02,newsletter,email,weekly_promo,9800,320,64.00
2020-11-03,google,cpc,holiday_search,13200,455,364.00
2020-11-03,facebook,paid_social,remarketing_q4,18200,540,297.00
2020-11-03,newsletter,email,weekly_promo,10100,335,67.00
2020-11-04,google,cpc,holiday_search,13800,470,376.00
2020-11-04,facebook,paid_social,remarketing_q4,18800,560,308.00
2020-11-04,newsletter,email,weekly_promo,10400,345,69.00
2020-11-05,google,cpc,holiday_search,14200,490,392.00
2020-11-05,facebook,paid_social,remarketing_q4,19400,575,316.00
2020-11-05,newsletter,email,weekly_promo,10800,355,71.00
2020-11-06,google,cpc,holiday_search,14800,515,412.00
2020-11-06,facebook,paid_social,remarketing_q4,20100,595,327.00
2020-11-06,newsletter,email,weekly_promo,11200,370,74.00
2020-11-07,google,cpc,holiday_search,15400,535,428.00
2020-11-07,facebook,paid_social,remarketing_q4,20800,615,338.00
2020-11-07,newsletter,email,weekly_promo,11600,385,77.00
