item_name,product_category,unit_cogs,assumed_unit_price,gross_margin_pct
Google Navy Speckled Tee,Apparel,8.50,24.99,0.6599
Google Unisex Eco Tee Black,Apparel,9.25,29.99,0.6916
Google Heather Green Speckled Tee,Apparel,8.75,24.99,0.6499
Google Grey Women's Tee,Apparel,8.95,26.99,0.6684
Google Badge Heavyweight Tee White,Apparel,10.50,32.99,0.6817
Google Campus Bike,Lifestyle,145.00,299.99,0.5166
Google Cloud Sticker,Accessories,0.20,2.99,0.9331
Google Pen White,Accessories,0.55,5.99,0.9082
Google Bottle,Accessories,3.75,16.99,0.7793
Google Notebook Set,Accessories,2.10,12.99,0.8383
Google Laptop Backpack,Accessories,18.50,64.99,0.7153
Google Zip Hoodie,Apparel,18.00,54.99,0.6727
Google Crewneck Sweatshirt,Apparel,16.50,49.99,0.6699
Google Fleece Jacket,Apparel,24.00,79.99,0.6999
Google Socks,Apparel,2.40,9.99,0.7598
Google Enamel Mug,Accessories,2.90,14.99,0.8065
Google Water Bottle,Accessories,4.25,19.99,0.7874
Google Journal,Accessories,2.65,13.99,0.8106
Google Cap,Apparel,5.10,21.99,0.7681
Google Tote Bag,Accessories,3.60,17.99,0.7999
